name,filer_url,filer_id,office,district,party
Douglas A. Thomas,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qcss7qedk,f_01kd8w6ftve6dak61qcss7qedk,Representative,72,Republican
Douglas Colburn Carlisle Jr,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qag0hdrt0,f_01kd8w6ftve6dak61qag0hdrt0,Representative,5,Republican
Dr. Lucien Daigle,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat85e79st2re6bc8f0jc,f_01kf4eat85e79st2re6bc8f0jc,Senator,1,Republican
Earl Ireland,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khvwm21ge9cbgegk682ya97x,f_01khvwm21ge9cbgegk682ya97x,County Commissioner,4,Republican
"Earl Martin, Jr.",https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjdx2kvyf4atyzbva3h17rx0,f_01kjdx2kvyf4atyzbva3h17rx0,County Commissioner,5,Republican
Edward Glaser,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km0mwsqzefzr9qdn8q53sfvn,f_01km0mwsqzefzr9qdn8q53sfvn,County Commissioner,1,Democratic
Edward L. Paradis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kk20nmstecqva6b5aepqx38z,f_01kk20nmstecqva6b5aepqx38z,Representative,26,Republican
Edward Mathias Kamin III,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01knsvqcw6fghbq2wvdfeyv1ph,f_01knsvqcw6fghbq2wvdfeyv1ph,Representative,12,Unenrolled
Edwin M. Mitchell,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zt07ztc0j,f_01kf4eat87emk8zw7zt07ztc0j,Senator,13,Unenrolled
Eleanor Sato,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khcgp2gcfkcbj9xjddrw1gy0,f_01khcgp2gcfkcbj9xjddrw1gy0,Senator,30,Democratic
Elizabeth Caruso,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0camvr8f9j,f_01kd8w6ftweefsxt0camvr8f9j,Senator,5,Republican
Elizabeth D. Bosworth,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw806vtshgkm,f_01kf4eat87emk8zw806vtshgkm,Senator,18,Democratic
Emily Dingman,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmqnkp3aex5vze908k5s9jbd,f_01kmqnkp3aex5vze908k5s9jbd,Representative,91,Democratic
Eric Boothroyd,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmqv87vcew7b96gv3ehwmth0,f_01kmqv87vcew7b96gv3ehwmth0,Representative,31,Democratic
Eric G. Samson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw801pnnfdw4,f_01kf4eat87emk8zw801pnnfdw4,Sheriff,-,Democratic
Eric H Small,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qdtsf8ynm,f_01kd8w6ftve6dak61qdtsf8ynm,Representative,143,Republican
Eric Nathanson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khps5zhtendbww8c5n64qcxz,f_01khps5zhtendbww8c5n64qcxz,Representative,124,Democratic
Eric White,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01knpxc74sens86xd3mka1w97w,f_01knpxc74sens86xd3mka1w97w,Representative,16,Republican
Erik Hobson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjqsh9hne1zamr8ekvtaf4np,f_01kjqsh9hne1zamr8ekvtaf4np,Representative,48,Republican
Ernest Fitts IV,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01knma71g1f15r9wdzdjnwb3xm,f_01knma71g1f15r9wdzdjnwb3xm,Representative,80,Republican
Eryn Soule,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khyhyj3vexbs3x17f5mcpq2v,f_01khyhyj3vexbs3x17f5mcpq2v,Senator,21,Unenrolled
Ester Franklin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kx1hwapafxdaq0ngc1hpajmn,f_01kx1hwapafxdaq0ngc1hpajmn,Senator,3,Democratic
Ethan Mongue,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khy973hyfr0tcv3xfpfs91aq,f_01khy973hyfr0tcv3xfpfs91aq,Representative,126,Republican
Flavia DeBrito,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khedptrpfj3t0r4arxww7sx2,f_01khedptrpfj3t0r4arxww7sx2,Representative,64,Democratic
Frank Joseph Casella,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zy6jmmzc7,f_01kf4eat87emk8zw7zy6jmmzc7,Representative,21,Republican
"Frank Mawson Blauvelt, Jr.",https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw807p69k188,f_01kf4eat87emk8zw807p69k188,Sheriff,-,Republican
Gail Eaton,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkf5tycyf2m80kvwmfyzbdwf,f_01kkf5tycyf2m80kvwmfyzbdwf,County Treasurer,-,Democratic
Gail J Clark,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw800t4bfam7,f_01kf4eat87emk8zw800t4bfam7,Register of Deeds,-,Republican
Garrett Paul Mason,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw801yf9banj,f_01kf4eat87emk8zw801yf9banj,Governor,-,Republican
Garrett Plummer,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkh3pb8ye9t9nzksksy1sfz2,f_01kkh3pb8ye9t9nzksksy1sfz2,Senator,31,Republican
Gary Friedmann,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khrhbsjmej2b3nngc0pjyp3q,f_01khrhbsjmej2b3nngc0pjyp3q,Representative,14,Democratic
"Gary Gene Runnells, Jr.",https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdkcss1fz0,f_01k89h8gcjegf9qpwdkcss1fz0,Representative,16,Unenrolled
Gary McGrane,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kp93xsymexmvmq2f2n8m5b94,f_01kp93xsymexmvmq2f2n8m5b94,County Commissioner,5,Democratic
Genevieve Lemire,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjj948ghfvz852drf972tbf4,f_01kjj948ghfvz852drf972tbf4,Representative,10,Democratic
Gino Valeriani,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kk9gaqh9e3ebt3y0h074kj8d,f_01kk9gaqh9e3ebt3y0h074kj8d,Representative,80,Republican
Glenn Chateauvert,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjt1fm1jf0tbexr865w91j0a,f_01kjt1fm1jf0tbexr865w91j0a,County Commissioner,3,Republican
Glenn Chip Curry,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zwxef8z7f,f_01kf4eat87emk8zw7zwxef8z7f,Senator,11,Democratic
Glenn Mower,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj2vsb12f3st36yj96vafrpy,f_01kj2vsb12f3st36yj96vafrpy,County Treasurer,-,Republican
Gordon Bell,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kns7c18yenvavgb07sseqeye,f_01kns7c18yenvavgb07sseqeye,County Commissioner,5,Republican
Gordon Frohloff,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km3y9dngf5dtp2qhe0rqy52x,f_01km3y9dngf5dtp2qhe0rqy52x,Representative,142,Republican
Gordon Powell Street,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8095ykjga1,f_01kf4eat87emk8zw8095ykjga1,Representative,28,Democratic
Grayson Lookner,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkhjx7vpfbktnqz3j3kj8jxw,f_01kkhjx7vpfbktnqz3j3kj8jxw,Representative,113,Democratic
Gregory Pierce,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zzd7wchag,f_01kf4eat87emk8zw7zzd7wchag,Senator,4,Republican
Guy Dow,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh6mtffmfeab0c2rkv45138a,f_01kh6mtffmfeab0c2rkv45138a,Sheriff,-,Republican
Guy Lebida,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khgtmd9kfw0s1d6s9cjedg49,f_01khgtmd9kfw0s1d6s9cjedg49,Representative,98,Republican
Hannah Pingree,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdk7sh8g2x,f_01k89h8gcjegf9qpwdk7sh8g2x,Governor,-,Democratic
Harold Hull,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjx1zyakexy9qkgg638cymnm,f_01kjx1zyakexy9qkgg638cymnm,Senator,2,Democratic
Harold Stewart III,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zypzq9sdp,f_01kf4eat87emk8zw7zypzq9sdp,Senator,2,Republican
Harry White,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkvzqjmvfjta321a1gkhp6bh,f_01kkvzqjmvfjta321a1gkhp6bh,Senator,30,Republican
Henry Lawrence,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn7wt00jfrkakpzdc68sxsz0,f_01kn7wt00jfrkakpzdc68sxsz0,Representative,102,Republican
Henry L Ingwersen,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdgfz5ayyz,f_01k89h8gcjegf9qpwdgfz5ayyz,Senator,32,Democratic
Holly Rae Eaton,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khxwqn84ftjrbcqrt8e81zgn,f_01khxwqn84ftjrbcqrt8e81zgn,Representative,15,Democratic
Holly Taylor Sargent,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zy0j60956,f_01kf4eat87emk8zw7zy0j60956,Representative,147,Democratic
H. Scott Landry,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjtrwfqjff9vxac17ewp7jxz,f_01kjtrwfqjff9vxac17ewp7jxz,Representative,75,Democratic
Irene Gifford,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7mp7mqf88rwddyy03947r8,f_01kh7mp7mqf88rwddyy03947r8,Representative,28,Republican
Jack McCarthy,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kr1nwtr7frdavj6y86f2zcg9,f_01kr1nwtr7frdavj6y86f2zcg9,Representative,3,Republican
Jacob Murray Wakem,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kky9j78rehzr1k7ft4aakqav,f_01kky9j78rehzr1k7ft4aakqav,Representative,119,Republican
Jacqueline Sartoris,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khbq85pnfxvtprpxr7ckvwwr,f_01khbq85pnfxvtprpxr7ckvwwr,District Attorney,2nd Prosecutorial District Attorney (Cumberland),Democratic
James Berube,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn4tkvnjesjbxrym6vhksxhc,f_01kn4tkvnjesjbxrym6vhksxhc,Representative,89,Republican
James Brent Kane,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw801k4z40az,f_01kf4eat87emk8zw801k4z40az,Sheriff,-,Republican
James Delmas Libby,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdh0hthqbk,f_01k89h8gcjegf9qpwdh0hthqbk,Governor,-,Republican
"James E. Read, Jr.",https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkh4h3pketxt2bg483gc5r8c,f_01kkh4h3pketxt2bg483gc5r8c,Senator,25,Republican
James E Thorne,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdky367vgq,f_01k89h8gcjegf9qpwdky367vgq,Representative,35,Republican
James F. Dill,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw80155agnc3,f_01kf4eat87emk8zw80155agnc3,Representative,26,Democratic
James Lee White,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdmbj0nrhj,f_01k89h8gcjegf9qpwdmbj0nrhj,Representative,30,Republican
James McClymer,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn23rexbe0gabby49dfzpbg8,f_01kn23rexbe0gabby49dfzpbg8,Representative,34,Democratic
James Michael Michaud,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw80080r9anc,f_01kf4eat87emk8zw80080r9anc,Representative,29,Republican
James Sorcek,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zz77h3gr7,f_01kf4eat87emk8zw7zz77h3gr7,Representative,90,Republican
Jamie K Newton,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q95zhtbwm,f_01kd8w6ftve6dak61q95zhtbwm,Representative,139,Republican
Janel Underwood-Charette,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kxhh7avxe2ksc2gngyhbpqwx,f_01kxhh7avxe2ksc2gngyhbpqwx,Senator,2,Democratic
Janet Beaudoin (Special),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zt9aedree,f_01kf4eat87emk8zw7zt9aedree,Representative,94,Republican
Janet Inger Beaudoin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw804bxd4ct0,f_01kf4eat87emk8zw804bxd4ct0,Representative,94,Republican
Janet Jamison,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjdd9jqne8raj6damtr1asmh,f_01kjdd9jqne8raj6damtr1asmh,County Commissioner,3,Democratic
Jantzen Stephen Craine,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q8n0axfbw,f_01kd8w6ftve6dak61q8n0axfbw,Representative,7,Republican
Jason Cherry,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkhac7rafydaefcfm5t2xjg3,f_01kkhac7rafydaefcfm5t2xjg3,Representative,38,Democratic
Jason G Litalien,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdh8ya7bza,f_01k89h8gcjegf9qpwdh8ya7bza,Senator,32,Unenrolled
Jason Lewis Copp,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkckc2v4f0xa26gkkmgas14e,f_01kkckc2v4f0xa26gkkmgas14e,Representative,110,Republican
Jason Seth Cherry,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758pxeckc2h,f_01k89h8gchec793758pxeckc2h,Governor,-,Democratic
Jason Shedlock,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khbrche9enrsfpxx1ffqgjxt,f_01khbrche9enrsfpxx1ffqgjxt,Representative,120,Democratic
Jason Trundy,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjwx2rhpfgqtwbjsws3q2d38,f_01kjwx2rhpfgqtwbjsws3q2d38,Sheriff,-,Democratic
Jean Donovan,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn7x9z2ker0t0ere86d983be,f_01kn7x9z2ker0t0ere86d983be,Representative,14,Republican
Jedediah J. Rice,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zzprbfv8w,f_01kf4eat87emk8zw7zzprbfv8w,Representative,50,Republican
Jeff Adams,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw807kwz9n20,f_01kf4eat87emk8zw807kwz9n20,Representative,144,Republican
Jeff Harris,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn04h7syegm99d0m7bpthym4,f_01kn04h7syegm99d0m7bpthym4,Representative,58,Republican
Jeffrey Gilbert,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7rj2m2f3vr2demskjz2bqs,f_01kh7rj2m2f3vr2demskjz2bqs,County Commissioner,5,Republican
Jeffrey Timberlake,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7tcd41f1kb7t96jsbjdgcs,f_01kh7tcd41f1kb7t96jsbjdgcs,Representative,91,Republican
Jennifer Levesque,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kyw3s66retx8n0cw82p3446t,f_01kyw3s66retx8n0cw82p3446t,Representative,1,Democratic
Jennifer Lynn Poirier,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zt4th9mye,f_01kf4eat87emk8zw7zt4th9mye,Representative,70,Republican
Jennifer Mayher,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh53v1afek98sd5cgxn71est,f_01kh53v1afek98sd5cgxn71est,Representative,46,Democratic
Jeremy McArthur,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kya5q7ppffasgagpveg29c23,f_01kya5q7ppffasgagpveg29c23,Representative,65,Republican
Jessica Blanchard,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01knwjnbpgf30ak3nzejgvd3r1,f_01knwjnbpgf30ak3nzejgvd3r1,Representative,69,Democratic
Jill C. Duson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q9m0pf0tv,f_01kd8w6ftve6dak61q9m0pf0tv,Senator,27,Democratic
Joanne Mason,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmk112pqfkrvwwjsre09bygg,f_01kmk112pqfkrvwwjsre09bygg,County Treasurer,-,Democratic
Joel Mahaffey,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmjzhcvaem292e3fxnn9n907,f_01kmjzhcvaem292e3fxnn9n907,County Commissioner,3,Democratic
Joel R Stetkis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdkvsnbmqf,f_01k89h8gcjegf9qpwdkvsnbmqf,Senator,3,Republican
Johanna D Turner,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw808nkpr9s0,f_01kf4eat87emk8zw808nkpr9s0,County Treasurer,-,Republican
John Alsop,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw802nbcvcqe,f_01kf4eat87emk8zw802nbcvcqe,County Commissioner,4,Unenrolled
John Andrews,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758ntykfqfa,f_01k89h8gchec793758ntykfqfa,Senator,18,Republican
John Baldwin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmn2mc8hecpsehgkg0hneymq,f_01kmn2mc8hecpsehgkg0hneymq,Representative,87,Green
John Eder,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zwr5k17g8,f_01kf4eat87emk8zw7zwr5k17g8,Representative,136,Republican
"John E. Ducharme, III",https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zr8s89dyy,f_01kf4eat87emk8zw7zr8s89dyy,Representative,71,Republican
John Hansen,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmrfmrbqe0nrk9b2tetms188,f_01kmrfmrbqe0nrk9b2tetms188,Sheriff,-,Democratic
"John J. Contreni, Jr",https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmr1fshae20bjcrme2t7qkvw,f_01kmr1fshae20bjcrme2t7qkvw,Representative,30,Democratic
"John Michael Glowa, Sr.",https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758rqcwhq2q,f_01k89h8gchec793758rqcwhq2q,Governor,-,Unenrolled
John Mountainland,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01krgp7fyjes3rqccqqmp055r4,f_01krgp7fyjes3rqccqqmp055r4,Budget Committee,6,Republican
John Murphy Salamone,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdkjv5a54d,f_01k89h8gcjegf9qpwdkjv5a54d,Senator,32,Republican
John Reny,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zr1mj9q75,f_01kf4eat87emk8zw7zr1mj9q75,Representative,59,Republican
John Robert Henkelman III,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7ztqbvn1zh,f_01kf4eat87emk8zw7ztqbvn1zh,Representative,143,Democratic
John Wombacher,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01krc4eqxkfs9sfwzy4j3gkpyh,f_01krc4eqxkfs9sfwzy4j3gkpyh,County Commissioner,2,Democratic
Jo-Jean Keller,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7kqdeser185x833nkteg5z,f_01kh7kqdeser185x833nkteg5z,Senator,17,Democratic
Jonathan Bush,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qaprd8ent,f_01kd8w6ftve6dak61qaprd8ent,Governor,-,Republican
Jonathan Goble,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kreae3k7fcgv7vk2hs44ampw,f_01kreae3k7fcgv7vk2hs44ampw,Representative,18,Democratic
Jonathan L. Kinney,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw808wzejhqt,f_01kf4eat87emk8zw808wzejhqt,Representative,138,Republican
Jonathan Reed Fallon,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9098mrsm,f_01kd8w6ftweefsxt0c9098mrsm,Senator,34,Republican
Joschka Winterling,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh51rj98e8rrxtx82jgfwax8,f_01kh51rj98e8rrxtx82jgfwax8,Representative,23,Democratic
Joseph Almand,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khyfnrn2fambsbemkrmyra84,f_01khyfnrn2fambsbemkrmyra84,Representative,70,Democratic
Joseph Campbell,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh52tx5dfm78jf5m1az0wggp,f_01kh52tx5dfm78jf5m1az0wggp,Representative,107,Democratic
Joseph Edward Martin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zrcsdh9mh,f_01kf4eat87emk8zw7zrcsdh9mh,Senator,19,Republican
Joseph McLaughlin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjart9mffbwr2f7pn3twdfmp,f_01kjart9mffbwr2f7pn3twdfmp,Representative,40,Republican
Joseph Paul Guerin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qcer3bapq,f_01kd8w6ftve6dak61qcer3bapq,Senator,4,Republican
Joseph Pietroski,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8042s9q68t,f_01kf4eat87emk8zw8042s9q68t,County Commissioner,2,Republican
Joshua D. Gerritsen,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9925ndzz,f_01kd8w6ftweefsxt0c9925ndzz,Representative,41,Democratic
Joshua Morris,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qarpcvj50,f_01kd8w6ftve6dak61qarpcvj50,Senator,17,Republican
Julia McCabe,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7nszb5ezqb46skqzqjm7fy,f_01kh7nszb5ezqb46skqzqjm7fy,Representative,93,Democratic
JULIE A CURTIS,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw804vw6atfd,f_01kf4eat87emk8zw804vw6atfd,Register of Deeds,-,Republican
Julie Nicole Rakic,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9m6jvq3g,f_01kd8w6ftweefsxt0c9m6jvq3g,Senator,35,Republican
Justin Brown,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01ksqm2be7em2r0ar3cw8c4scp,f_01ksqm2be7em2r0ar3cw8c4scp,Sheriff,-,Unenrolled
Justin Chenette,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zz0qp0t4r,f_01kf4eat87emk8zw7zz0qp0t4r,County Commissioner,3,Democratic
Justin Donnaruma,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01ks8mcnxdezptht9n285ca44h,f_01ks8mcnxdezptht9n285ca44h,Senator,24,Unenrolled
Justin Tahai,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh526dz9ejb99kxe4rera9pg,f_01kh526dz9ejb99kxe4rera9pg,Representative,149,Unenrolled
Karen Gerrish,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kxnemsfrfq9tbeyfryd3nnah,f_01kxnemsfrfq9tbeyfryd3nnah,Representative,144,Republican
Karen Montell,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7pcetre5crw1e4hexef17e,f_01kh7pcetre5crw1e4hexef17e,Representative,54,Democratic
Karin Orenstein,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh52d1pje9sasn3zdh2k5k9z,f_01kh52d1pje9sasn3zdh2k5k9z,Representative,103,Democratic
Kari Wells-Puckett,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkenzbdheswrm0rjx3j51924,f_01kkenzbdheswrm0rjx3j51924,District Attorney,8th Prosecutorial District Attorney (Aroostook),Democratic
Kathryn Slattery,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjzvqjbefe7vpfdxbr2qfemd,f_01kjzvqjbefe7vpfdxbr2qfemd,District Attorney,1st Prosecutorial District Attorney (York),Democratic
Katie Brydon,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khvrhqj1eccv4m244ck7617q,f_01khvrhqj1eccv4m244ck7617q,Representative,23,Democratic
Kati L. McCormick,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat85e79st2re6hma16hc,f_01kf4eat85e79st2re6hma16hc,Senator,15,Republican
Katrina Couch Ray-Saulis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8fb546fm4apty7788gbjqs,f_01kj8fb546fm4apty7788gbjqs,Representative,59,Democratic
Katrina J Smith,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q9s9hv47g,f_01kd8w6ftve6dak61q9s9hv47g,Representative,62,Republican
Kayla Miller,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km0ymgd2ey6s6xabkr20822j,f_01km0ymgd2ey6s6xabkr20822j,Representative,38,Democratic
Keith Newman,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01knhetv5hetgtknce4rt0pd97,f_01knhetv5hetgtknce4rt0pd97,Representative,11,Democratic
Kelly Dearborn,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj87wf1ze3rbf1825hh632rk,f_01kj87wf1ze3rbf1825hh632rk,Representative,108,Republican
Kelly Maureen Noonan Murphy,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8090c1chtn,f_01kf4eat87emk8zw8090c1chtn,Representative,125,Democratic
Kenneth A. Capron,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758pheb4mhk,f_01k89h8gchec793758pheb4mhk,Governor,-,Republican
Kenneth Blow,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjr2sc50faqs7p75db4pksfp,f_01kjr2sc50faqs7p75db4pksfp,Representative,131,Unenrolled
Kenneth Cianchette,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7qy310fp4tevqe1nefmhjt,f_01kh7qy310fp4tevqe1nefmhjt,Senator,26,Republican
Kenneth Davis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zx7f17bj4,f_01kf4eat87emk8zw7zx7f17bj4,Senator,6,Republican
Kenneth Forrest Pinet,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdk2hc0ghm,f_01k89h8gcjegf9qpwdk2hc0ghm,Governor,-,Democratic
