filer_name,filer_url,total_contributions,total_monetary_contributions,total_inkind_contributions,total_expenditures,current_cash_balance,current_loan_balance,current_debt_balance,latest_filing_name,latest_filing_date,filing_period_end,scrape_date
Dexter &#39;Buzz&#39; Bridges,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkvvwpprek3b2x5fyxvmbmpb,755.0,755.0,0.0,4261.73,8093.27,0.0,0.0,42-Day Post-Primary MCEA Report,07/14/2026,07/14/2026,2026-08-04
Diana Kushnar,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh520nqvfb49vj94drp9twss,9136.7,9136.7,0.0,1538.86,7597.84,0.0,0.0,42-Day Post-Primary Report,07/22/2026,07/14/2026,2026-08-04
D. Michael Ray,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw804hsgnc0v,1000.0,1000.0,0.0,992.23,8950.0,0.0,750.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Domingo Torres,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kz3xbrc5fpxvvgkfq7knbv6n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Donald Ardell,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjtcvk1xe0nbttq47wp378rx,146.23,146.23,0.0,0.0,146.23,0.0,0.0,42-Day Post-Primary Report,07/19/2026,07/14/2026,2026-08-04
Donna Bailey,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qe088snh8,900.0,900.0,0.0,3311.22,33195.24,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Douglas A. Thomas,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qcss7qedk,1000.0,1000.0,0.0,2695.62,8904.38,0.0,2700.0,42-Day Post-Primary MCEA Report,07/22/2026,07/14/2026,2026-08-04
Douglas Colburn Carlisle Jr,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qag0hdrt0,1000.0,1000.0,0.0,3812.96,6087.32,0.0,0.0,42-Day Post-Primary MCEA Report,07/28/2026,07/14/2026,2026-08-04
Dr. Lucien Daigle,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat85e79st2re6bc8f0jc,2400.0,2400.0,0.0,3592.46,41205.84,0.0,0.0,42-Day Post-Primary MCEA Report,07/17/2026,07/14/2026,2026-08-04
Edward L. Paradis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kk20nmstecqva6b5aepqx38z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Pre-Primary Report,05/04/2026,04/21/2026,2026-08-04
Edward Mathias Kamin III,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01knsvqcw6fghbq2wvdfeyv1ph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Edwin M. Mitchell,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zt07ztc0j,3000.0,3000.0,0.0,3918.41,27524.77,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Eleanor Sato,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khcgp2gcfkcbj9xjddrw1gy0,3000.0,3000.0,0.0,16249.56,0.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/16/2026,07/14/2026,2026-08-04
Elizabeth Caruso,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0camvr8f9j,905.0,905.0,0.0,5951.91,24017.09,0.0,0.0,42-Day Post-Primary MCEA Report,07/22/2026,07/14/2026,2026-08-04
Elizabeth D. Bosworth,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw806vtshgkm,2865.0,2865.0,0.0,5786.84,39477.66,0.0,1000.0,42-Day Post-Primary Report,08/03/2026,07/14/2026,2026-08-04
Emily Dingman,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmqnkp3aex5vze908k5s9jbd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Eric Boothroyd,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmqv87vcew7b96gv3ehwmth0,600.0,600.0,0.0,0.0,600.0,0.0,0.0,42-Day Post-Primary Report,07/20/2026,07/14/2026,2026-08-04
Eric H Small,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qdtsf8ynm,3000.04,3000.0,0.0,3000.0,0.04,0.0,0.0,42-Day Post-Primary Report,06/26/2026,07/14/2026,2026-08-04
Eric Nathanson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khps5zhtendbww8c5n64qcxz,1000.0,1000.0,0.0,978.58,7300.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/29/2026,07/14/2026,2026-08-04
Eric White,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01knpxc74sens86xd3mka1w97w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/08/2026,07/14/2026,2026-08-04
Erik Hobson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjqsh9hne1zamr8ekvtaf4np,1000.0,1000.0,0.0,2624.51,10625.49,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Ernest Fitts IV,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01knma71g1f15r9wdzdjnwb3xm,4720.0,4720.0,0.0,3988.29,731.71,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Eryn Soule,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khyhyj3vexbs3x17f5mcpq2v,2400.0,2400.0,0.0,3221.02,28308.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Ester Franklin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kx1hwapafxdaq0ngc1hpajmn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Post-Primary Report,08/03/2026,07/14/2026,2026-08-04
Ethan Mongue,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khy973hyfr0tcv3xfpfs91aq,6441.46,6300.0,141.46,2606.5,3693.5,0.0,0.0,42-Day Post-Primary Report,07/22/2026,07/14/2026,2026-08-04
Flavia DeBrito,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khedptrpfj3t0r4arxww7sx2,423.0,423.0,0.0,423.0,7300.0,0.0,347.69,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Frank Joseph Casella,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zy6jmmzc7,1000.0,1000.0,0.0,2328.63,8621.37,0.0,0.0,42-Day Post-Primary MCEA Report,07/19/2026,07/14/2026,2026-08-04
Garrett Paul Mason,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw801yf9banj,232302.82,182302.82,0.0,232302.82,0.0,0.0,0.0,42-Day Post-Primary Report,07/20/2026,07/14/2026,2026-08-04
Garrett Plummer,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkh3pb8ye9t9nzksksy1sfz2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Pre-Primary Report,05/04/2026,04/21/2026,2026-08-04
Gary Friedmann,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khrhbsjmej2b3nngc0pjyp3q,0.0,0.0,0.0,0.0,8950.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
"Gary Gene Runnells, Jr.",https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdkcss1fz0,2435.0,2435.0,0.0,2336.0,99.0,0.0,0.0,42-Day Pre-Primary Report,04/21/2026,04/21/2026,2026-08-04
Genevieve Lemire,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjj948ghfvz852drf972tbf4,515.0,515.0,0.0,450.12,7300.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/30/2026,07/14/2026,2026-08-04
Gino Valeriani,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kk9gaqh9e3ebt3y0h074kj8d,1995.0,1995.0,0.0,1895.42,99.58,0.0,0.0,42-Day Post-Primary Report,07/20/2026,07/14/2026,2026-08-04
Glenn Chip Curry,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zwxef8z7f,2940.0,2940.0,0.0,5396.2,79691.77,0.0,1100.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Gordon Frohloff,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km3y9dngf5dtp2qhe0rqy52x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Gordon Powell Street,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8095ykjga1,1000.01,1000.0,0.0,1502.96,6789.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Grayson Lookner,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkhjx7vpfbktnqz3j3kj8jxw,150.0,150.0,0.0,141.0,2675.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Gregory Pierce,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zzd7wchag,4050.0,4050.0,0.0,2702.25,1347.75,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Guy Lebida,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khgtmd9kfw0s1d6s9cjedg49,686.0,686.0,0.0,686.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/20/2026,07/14/2026,2026-08-04
Harold Hull,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjx1zyakexy9qkgg638cymnm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/20/2026,07/14/2026,2026-08-04
Harold Stewart III,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zypzq9sdp,2495.0,2495.0,0.0,2895.0,35375.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/15/2026,07/14/2026,2026-08-04
Harry White,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkvzqjmvfjta321a1gkhp6bh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/16/2026,07/14/2026,2026-08-04
Henry Lawrence,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn7wt00jfrkakpzdc68sxsz0,3229.7,3229.7,0.0,1474.34,1755.36,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Henry L Ingwersen,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdgfz5ayyz,2950.0,2950.0,0.0,5003.64,60218.17,0.0,0.0,42-Day Post-Primary MCEA Report,07/16/2026,07/14/2026,2026-08-04
Holly Rae Eaton,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khxwqn84ftjrbcqrt8e81zgn,530.0,530.0,0.0,850.62,6979.38,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
Holly Taylor Sargent,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zy0j60956,900.0,900.0,0.0,890.37,2675.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/19/2026,07/14/2026,2026-08-04
H. Scott Landry,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjtrwfqjff9vxac17ewp7jxz,7900.0,7900.0,0.0,439.58,7460.42,0.0,0.0,42-Day Post-Primary Report,07/23/2026,07/14/2026,2026-08-04
Irene Gifford,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7mp7mqf88rwddyy03947r8,0.0,0.0,0.0,3668.87,3631.13,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
Jack McCarthy,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kr1nwtr7frdavj6y86f2zcg9,313.39,0.0,313.39,0.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/23/2026,07/14/2026,2026-08-04
Jacob Murray Wakem,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kky9j78rehzr1k7ft4aakqav,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
James Berube,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn4tkvnjesjbxrym6vhksxhc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/15/2026,07/14/2026,2026-08-04
James Delmas Libby,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdh0hthqbk,17025.0,17025.0,0.0,16926.24,98.76,0.0,0.0,42-Day Pre-Primary Report,04/23/2026,04/21/2026,2026-08-04
"James E. Read, Jr.",https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkh4h3pketxt2bg483gc5r8c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
James E Thorne,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdky367vgq,100.0,100.0,0.0,0.0,7300.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/08/2026,07/14/2026,2026-08-04
James F. Dill,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw80155agnc3,950.0,950.0,0.0,950.0,20500.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/17/2026,07/14/2026,2026-08-04
James Lee White,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdmbj0nrhj,2784.51,2784.51,0.0,486.41,2298.1,0.0,0.0,42-Day Post-Primary Report,07/15/2026,07/14/2026,2026-08-04
James McClymer,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn23rexbe0gabby49dfzpbg8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/20/2026,07/14/2026,2026-08-04
James Michael Michaud,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw80080r9anc,964.33,964.33,0.0,964.33,0.0,0.0,0.0,42-Day Pre-Primary Report,07/23/2026,04/21/2026,2026-08-04
James Sorcek,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zz77h3gr7,325.04,305.0,20.04,891.59,6706.97,0.0,0.0,42-Day Post-Primary MCEA Report,07/19/2026,07/14/2026,2026-08-04
Jamie K Newton,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q95zhtbwm,2975.0,2975.0,0.0,1615.39,1359.61,0.0,0.0,42-Day Post-Primary Report,07/17/2026,07/14/2026,2026-08-04
Janel Underwood-Charette,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kxhh7avxe2ksc2gngyhbpqwx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Janet Beaudoin (Special),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zt9aedree,13541.0,13041.0,500.0,13041.0,0.0,0.0,0.0,42-Day Post-Special Election Report (2026 HD 94 Special Election),04/02/2026,,2026-08-04
Janet Inger Beaudoin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw804bxd4ct0,11203.6,11203.6,0.0,1026.4,10177.2,0.0,0.0,42-Day Post-Primary Report,07/20/2026,07/14/2026,2026-08-04
Jantzen Stephen Craine,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q8n0axfbw,4408.48,1486.15,0.0,3505.77,902.71,2608.32,0.0,42-Day Post-Primary Report,07/20/2026,07/14/2026,2026-08-04
Jason Cherry,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkhac7rafydaefcfm5t2xjg3,900.0,0.0,0.0,900.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/28/2026,07/14/2026,2026-08-04
Jason G Litalien,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdh8ya7bza,5910.49,5705.0,0.0,3432.7,2477.79,205.49,0.0,42-Day Post-Primary Report,07/18/2026,07/14/2026,2026-08-04
Jason Lewis Copp,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkckc2v4f0xa26gkkmgas14e,2550.0,2550.0,0.0,1998.0,552.0,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Jason Seth Cherry,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758pxeckc2h,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,2026 July Semiannual Report,07/02/2026,,2026-08-04
Jason Shedlock,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khbrche9enrsfpxx1ffqgjxt,38677.31,38676.0,0.0,22248.88,16428.43,0.0,0.0,42-Day Post-Primary Report,07/28/2026,07/14/2026,2026-08-04
Jean Donovan,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn7x9z2ker0t0ere86d983be,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Pre-Primary Report,05/13/2026,04/21/2026,2026-08-04
Jedediah J. Rice,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zzprbfv8w,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,11-Day Pre-Primary Report,07/27/2026,05/22/2026,2026-08-04
Jeff Adams,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw807kwz9n20,371.49,371.49,0.0,0.0,371.49,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Jeff Harris,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn04h7syegm99d0m7bpthym4,1000.0,1000.0,0.0,982.1,17.9,0.0,0.0,42-Day Post-Primary Report,07/23/2026,07/14/2026,2026-08-04
Jeffrey Timberlake,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7tcd41f1kb7t96jsbjdgcs,8155.22,8154.65,0.0,1241.26,6913.96,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Jennifer Levesque,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kyw3s66retx8n0cw82p3446t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Jennifer Lynn Poirier,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zt4th9mye,3134.46,3134.46,0.0,400.05,2734.41,0.0,0.0,42-Day Post-Primary Report,07/16/2026,07/14/2026,2026-08-04
Jennifer Mayher,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh53v1afek98sd5cgxn71est,1000.0,1000.0,0.0,5066.27,14771.99,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Jeremy McArthur,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kya5q7ppffasgagpveg29c23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Jessica Blanchard,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01knwjnbpgf30ak3nzejgvd3r1,2210.03,2210.03,0.0,442.55,1767.48,0.0,0.0,11-Day Pre-Primary Report,07/17/2026,05/22/2026,2026-08-04
Jill C. Duson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q9m0pf0tv,1840.0,1840.0,0.0,1430.7,10600.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
Joel R Stetkis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdkvsnbmqf,17863.07,12863.07,0.0,12205.36,5657.71,5000.0,0.0,42-Day Post-Primary Report,07/26/2026,07/14/2026,2026-08-04
John Andrews,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758ntykfqfa,12217.32,10604.48,1612.84,3448.09,7156.39,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
John Baldwin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmn2mc8hecpsehgkg0hneymq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/09/2026,07/14/2026,2026-08-04
John Eder,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zwr5k17g8,6700.0,6700.0,0.0,109.99,6590.01,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
"John E. Ducharme, III",https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zr8s89dyy,8116.7,8116.43,0.0,1490.5,6626.2,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
"John J. Contreni, Jr",https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmr1fshae20bjcrme2t7qkvw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
"John Michael Glowa, Sr.",https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758rqcwhq2q,29583.92,1180.0,7019.92,21678.56,885.44,21384.0,4727.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
John Murphy Salamone,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdkjv5a54d,1685.3,1685.0,0.0,1707.87,,0.0,0.0,42-Day Pre-Primary Report,04/27/2026,04/21/2026,2026-08-04
John Reny,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zr1mj9q75,1000.0,1000.0,0.0,6592.42,14907.58,0.0,0.0,42-Day Post-Primary MCEA Report,07/19/2026,07/14/2026,2026-08-04
John Robert Henkelman III,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7ztqbvn1zh,1000.0,1000.0,0.0,2428.55,5870.82,0.0,0.0,42-Day Post-Primary MCEA Report,07/11/2026,07/14/2026,2026-08-04
Colleen O'Neal,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkvygx9gf1ta57q9yq2rxhqe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Jo-Jean Keller,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7kqdeser185x833nkteg5z,1316.0,1316.0,0.0,1421.44,29044.5,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
Jonathan Bush,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qaprd8ent,3217769.65,1460631.0,80638.65,3126482.91,10648.09,1676500.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Jonathan Goble,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kreae3k7fcgv7vk2hs44ampw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Jonathan L. Kinney,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw808wzejhqt,5900.0,5900.0,0.0,883.08,5016.92,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Jonathan Reed Fallon,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9098mrsm,3000.0,3000.0,0.0,12105.77,20020.92,0.0,0.0,42-Day Post-Primary MCEA Report,07/28/2026,07/14/2026,2026-08-04
Joschka Winterling,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh51rj98e8rrxtx82jgfwax8,452.27,452.27,0.0,452.27,0.0,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Joseph Almand,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khyfnrn2fambsbemkrmyra84,955.0,955.0,0.0,2245.5,12609.5,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Joseph Campbell,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh52tx5dfm78jf5m1az0wggp,1000.0,1000.0,0.0,2377.16,7569.67,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Joseph Edward Martin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zrcsdh9mh,7299.0,7299.0,0.0,0.0,7299.0,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Joseph McLaughlin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjart9mffbwr2f7pn3twdfmp,1210.0,1210.0,0.0,30.0,1180.0,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Joseph Paul Guerin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qcer3bapq,6225.0,6225.0,0.0,6225.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/15/2026,07/14/2026,2026-08-04
Joshua D. Gerritsen,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9925ndzz,1000.0,1000.0,0.0,3627.72,8924.83,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Joshua Morris,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qarpcvj50,3089.39,3089.39,0.0,450.0,2639.39,0.0,0.0,42-Day Post-Primary Report,07/22/2026,07/14/2026,2026-08-04
Julia McCabe,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7nszb5ezqb46skqzqjm7fy,970.0,970.0,0.0,2000.51,6268.98,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
Julie Nicole Rakic,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9m6jvq3g,995.0,995.0,0.0,1717.0,34931.02,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Justin Donnaruma,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01ks8mcnxdezptht9n285ca44h,25150.0,150.0,0.0,25054.28,95.72,0.0,0.0,42-Day Post-Primary Report,07/14/2026,07/14/2026,2026-08-04
Justin Tahai,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh526dz9ejb99kxe4rera9pg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Karen Gerrish,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kxnemsfrfq9tbeyfryd3nnah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Karen Montell,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7pcetre5crw1e4hexef17e,1000.0,1000.0,0.0,990.0,7300.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
Karin Orenstein,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh52d1pje9sasn3zdh2k5k9z,1000.0,1000.0,0.0,999.88,2675.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Katie Brydon,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khvrhqj1eccv4m244ck7617q,1000.0,1000.0,0.0,4325.0,0.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/23/2026,07/14/2026,2026-08-04
Kati L. McCormick,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat85e79st2re6hma16hc,1490.0,1490.0,0.0,5243.55,25255.8,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
