candidate_name,filer_url,filing_name,filing_url,date_filed,report_type,reporting_period,total_contributions,total_monetary_contributions,total_inkind_contributions,total_expenditures,total_mcea_payments,return_of_mcea_funds,balance_beginning,balance_end,debt_balance,unitemized_total
Michael Tipping,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qc990a1zp,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qc990a1zp/filings/d_01kpp0gev5es59krqs6bjwnzwr,,Mcea Seed Money,"Unbounded - April 17, 2026","$3,000.00","$3,000.00",$0.00,"$3,000.00",,,$0.00,$0.00,$0.00,$700.00
Michael Tipping,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qc990a1zp,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qc990a1zp/filings/d_01kpeth4wcefxt0jxm24nt4efa,,Mcea Seed Money,"Unbounded - April 17, 2026","$3,000.00","$3,000.00",$0.00,"$3,000.00",,,$0.00,$0.00,$0.00,$700.00
Michael Tipping,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qc990a1zp,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qc990a1zp/filings/d_01kpegv0kmfs2r5eqhj9c6g2f1,,Mcea Seed Money,"Unbounded - April 17, 2026","$3,000.00","$3,000.00",$0.00,"$3,000.00",,,$0.00,$0.00,$0.00,$700.00
Michelle Conners,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkfgm7m1e89bcny8jm7afmr8,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkfgm7m1e89bcny8jm7afmr8/filings/d_01ksrbfs1aftmbs5w82g5xd8dq,,Mcea Campaign Finance,"January 01, 2026 - May 26, 2026",,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
Christopher Easton,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh540px5fc9t4q0ydv9wpgg3,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh540px5fc9t4q0ydv9wpgg3/filings/d_01ksnqbp8cfxa9awdm26jzme5n,,Mcea Campaign Finance,"May 14, 2026 - May 26, 2026",,,,$0.00,$674.92,$0.00,$0.08,$675.00,$0.00,
Christopher Easton,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh540px5fc9t4q0ydv9wpgg3,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh540px5fc9t4q0ydv9wpgg3/filings/d_01krbjqdtwfg8re6c7nqtk8ddz,,Mcea Seed Money,"Unbounded - May 13, 2026","$1,000.00","$1,000.00",$0.00,$999.92,,,$0.00,$0.08,$0.00,$0.00
Suzanne Salisbury,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh557r74ff9a1be3rvmfrt2y,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh557r74ff9a1be3rvmfrt2y/filings/d_01ksntx7waeq7r5hnjd97kpw24,,Mcea Campaign Finance,"May 15, 2026 - May 26, 2026",,,,$45.63,$675.00,$0.00,$0.00,$629.37,$0.00,
Suzanne Salisbury,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh557r74ff9a1be3rvmfrt2y,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh557r74ff9a1be3rvmfrt2y/filings/d_01krmdjzpsfrbvec6rbfahqfcc,,Mcea Seed Money,"Unbounded - May 14, 2026",$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,$0.00
Jennifer Mayher,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh53v1afek98sd5cgxn71est,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh53v1afek98sd5cgxn71est/filings/d_01kstskrqrfrs9e1m094ej5e5s,,Mcea Campaign Finance,"May 14, 2026 - May 26, 2026",,,,$25.00,$663.26,$0.00,$11.74,$650.00,$0.00,
Jennifer Mayher,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh53v1afek98sd5cgxn71est,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh53v1afek98sd5cgxn71est/filings/d_01knhz7hdffzeaa7yjpnn8ar99,,Mcea Seed Money,"Unbounded - May 13, 2026","$1,000.00","$1,000.00",$0.00,$988.26,,,$0.00,$11.74,$0.00,$0.00
Taylor West,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh52m79ae6sat8n6wxjtpsyq,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh52m79ae6sat8n6wxjtpsyq/filings/d_01ksph21s1f99rjrknc8xvs7j3,,Mcea Campaign Finance,"May 15, 2026 - May 26, 2026",,,,$99.17,$673.01,$0.00,$1.99,$575.83,$650.00,
Taylor West,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh52m79ae6sat8n6wxjtpsyq,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh52m79ae6sat8n6wxjtpsyq/filings/d_01krkeqfxbe9s9jb9me9p8behr,,Mcea Seed Money,"Unbounded - May 14, 2026",$945.00,$945.00,$0.00,$943.01,,,$0.00,$1.99,$650.00,$0.00
Taylor West,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh52m79ae6sat8n6wxjtpsyq,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh52m79ae6sat8n6wxjtpsyq/filings/d_01kp3hkvd9ew59nqspmdp6a5qz,,Mcea Seed Money,"Unbounded - May 14, 2026",$940.00,$940.00,$0.00,$943.01,,,$0.00,,$650.00,$0.00
Aaron Dana,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8bcwvpfxs9gnx7ds7v5h55,2026 Seed Money Report - Extended (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8bcwvpfxs9gnx7ds7v5h55/filings/d_01ksk6v2qwfs9ttsy44j5cg15w,,Mcea Seed Money,"Unbounded - May 27, 2026",$950.00,$950.00,$0.00,$863.17,,,$0.00,$86.83,$0.00,$125.00
Nancy McDowell,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km8ceamnfw98fetr24zx18f2,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km8ceamnfw98fetr24zx18f2/filings/d_01ksqjv9phfnn849pbb0zt1nby,,Mcea Campaign Finance,"May 21, 2026 - May 26, 2026",,,,$0.00,$671.83,$0.00,$3.17,$675.00,$0.00,
Nancy McDowell,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km8ceamnfw98fetr24zx18f2,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km8ceamnfw98fetr24zx18f2/filings/d_01ks5pdrm3f8qbqjem33p6k59s,,Mcea Seed Money,"Unbounded - May 19, 2026",$975.00,$975.00,$0.00,$971.83,,,$0.00,$3.17,$0.00,$50.00
Nancy McDowell,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km8ceamnfw98fetr24zx18f2,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km8ceamnfw98fetr24zx18f2/filings/d_01ks374576esta0fbts3nsdaxk,,Mcea Seed Money,"Unbounded - May 19, 2026",$975.00,$975.00,$0.00,$971.83,,,$0.00,$3.17,$0.00,$50.00
Nancy McDowell,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km8ceamnfw98fetr24zx18f2,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km8ceamnfw98fetr24zx18f2/filings/d_01ks0hmp8tfa9tc524pn2tpb1x,,Mcea Seed Money,"Unbounded - May 19, 2026",$975.00,$975.00,$0.00,$975.00,,,$0.00,$0.00,$0.00,$50.00
Sally Cluchey,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7m9ke7f8hrvtrvk3q9z0v3,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7m9ke7f8hrvtrvk3q9z0v3/filings/d_01ksrr54kbe5svfgykbs8wgamn,,Mcea Campaign Finance,"April 22, 2026 - May 26, 2026",,,,$460.63,$675.00,$0.00,$0.00,$214.38,$0.00,
Sally Cluchey,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7m9ke7f8hrvtrvk3q9z0v3,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7m9ke7f8hrvtrvk3q9z0v3/filings/d_01kpre5k3be9ttt2af2h9s73yr,,Mcea Seed Money,"Unbounded - April 20, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$0.00,$0.00
Sally Cluchey,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7m9ke7f8hrvtrvk3q9z0v3,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7m9ke7f8hrvtrvk3q9z0v3/filings/d_01kpnyber4fadac2nkevhvf9cc,,Mcea Seed Money,"Unbounded - April 20, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$0.00,$0.00
James E Thorne,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdky367vgq,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdky367vgq/filings/d_01kt2bgyc1f7bs52mmrz7pztwa,,Mcea Campaign Finance,"April 24, 2026 - May 26, 2026",,,,$0.00,$575.00,$0.00,$100.00,$675.00,$0.00,
James E Thorne,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdky367vgq,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdky367vgq/filings/d_01kpxgebrvf9hbtjgjp8qttr4c,,Mcea Seed Money,"Unbounded - April 23, 2026",$100.00,$100.00,$0.00,$0.00,,,$0.00,$100.00,$0.00,$0.00
Harold Stewart III,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zypzq9sdp,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zypzq9sdp/filings/d_01kt28pz7ffkjsz93gdjd7c3b6,,Mcea Campaign Finance,"April 19, 2026 - May 26, 2026",,,,$0.00,"$2,650.00",$0.00,$0.00,"$2,650.00",$0.00,
Harold Stewart III,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zypzq9sdp,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zypzq9sdp/filings/d_01kphc98yhe569xb424j7535tz,,Mcea Seed Money,"Unbounded - April 18, 2026","$2,495.00","$2,495.00",$0.00,"$2,495.00",,,$0.00,$0.00,$0.00,"$2,495.00"
Michael Dixon,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh54b61tevxsk81mxvn7kn5r,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh54b61tevxsk81mxvn7kn5r/filings/d_01kstcx7a9e1db02eaja3g0ssx,,Mcea Campaign Finance,"May 09, 2026 - May 26, 2026",,,,$468.78,$675.00,$0.00,$0.00,$206.22,$392.04,
Michael Dixon,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh54b61tevxsk81mxvn7kn5r,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh54b61tevxsk81mxvn7kn5r/filings/d_01kp6c2et3fkebyzspqqpjn1dc,,Mcea Seed Money,"Unbounded - May 08, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$392.04,$0.00
Joschka Winterling,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh51rj98e8rrxtx82jgfwax8,11-Day Pre-Primary Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh51rj98e8rrxtx82jgfwax8/filings/d_01kstd74zpekgs3sees35tteyv,,Campaign Finance,"January 01, 2026 - May 26, 2026",$420.00,$420.00,$0.00,$452.27,,,$0.00,,$0.00,$0.00
Maura H Pillsbury,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8058t8vv2j,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8058t8vv2j/filings/d_01ks3047teea89sfn0t5jf18f4,,Mcea Campaign Finance,"April 22, 2026 - May 26, 2026",,,,$15.60,$672.44,$0.00,$2.56,$659.40,$0.00,
Maura H Pillsbury,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8058t8vv2j,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8058t8vv2j/filings/d_01kpkfnmx7febsekza394vnery,,Mcea Seed Money,"Unbounded - April 21, 2026","$1,000.00","$1,000.00",$0.00,$997.44,,,$0.00,$2.56,$0.00,$0.00
Michael Brayson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkhznfm2f7db6fcen2k3c0ak,11-Day Pre-Primary Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkhznfm2f7db6fcen2k3c0ak/filings/d_01kszewgkge9rtpwaj82me2adn,,Campaign Finance,"January 01, 2026 - May 26, 2026",$167.54,$67.54,$0.00,$41.74,,,$0.00,$125.80,$0.00,$25.00
James F. Dill,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw80155agnc3,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw80155agnc3/filings/d_01kstgtd3cftes0jrprmexj6bc,,Mcea Campaign Finance,"April 02, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$0.00,
James F. Dill,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw80155agnc3,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw80155agnc3/filings/d_01kn54fq3qfjgvv1stzeqa17sg,,Mcea Seed Money,"January 01, 2026 - April 01, 2026",$950.00,$950.00,$0.00,$950.00,,,$0.00,$0.00,$0.00,$0.00
Mana Hared Abdi,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8081x2yahg,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8081x2yahg/filings/d_01ksmvgt9xffgtevrmrygy5hxj,,Mcea Campaign Finance,"May 13, 2026 - May 26, 2026",,,,"$2,621.60","$13,250.00",$0.00,$0.00,"$10,628.40","$6,013.74",
Mana Hared Abdi,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8081x2yahg,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8081x2yahg/filings/d_01kqd6vrhjfq28x7cn02x5n2th,,Mcea Seed Money,"Unbounded - May 12, 2026","$3,000.00","$3,000.00",$0.00,"$3,000.00",,,$0.00,$0.00,"$6,013.74",$645.00
David Sinclair,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7q2ysefn8tvdxq131wrxr4,11-Day Pre-Primary Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7q2ysefn8tvdxq131wrxr4/filings/d_01kstczy57f0vr3dj9ez5a0v8q,,Campaign Finance,"January 01, 2026 - May 26, 2026",$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,$0.00
Stephen Carey,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km0zn7n3fvdb6wk90pgx7d24,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km0zn7n3fvdb6wk90pgx7d24/filings/d_01kst81bggf5282ascpcs7q4ee,,Mcea Campaign Finance,"May 20, 2026 - May 26, 2026",,,,$0.00,"$2,625.19",$0.00,$24.81,"$2,650.00",$0.00,
Stephen Carey,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km0zn7n3fvdb6wk90pgx7d24,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km0zn7n3fvdb6wk90pgx7d24/filings/d_01knq0szcxekmtyjz98rz5t95d,,Mcea Seed Money,"Unbounded - May 19, 2026","$3,000.00","$3,000.00",$0.00,"$2,975.19",,,$0.00,$24.81,$0.00,$0.00
Holly Rae Eaton,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khxwqn84ftjrbcqrt8e81zgn,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khxwqn84ftjrbcqrt8e81zgn/filings/d_01kstfwnv2f7n8dkz2fqgasay8,,Mcea Campaign Finance,"May 21, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$0.00,
Holly Rae Eaton,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khxwqn84ftjrbcqrt8e81zgn,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khxwqn84ftjrbcqrt8e81zgn/filings/d_01ks03ex4mfcqv7f8hvc9txhde,,Mcea Seed Money,"Unbounded - May 20, 2026",$530.00,$530.00,$0.00,$530.00,,,$0.00,$0.00,$0.00,$0.00
Peter G. Violette,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zrnznr7nt,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zrnznr7nt/filings/d_01kn4z4q8ke4rvdm9e57st7f4g,,Campaign Finance,"December 01, 2025 - December 31, 2025","$3,000.00","$3,000.00",$0.00,$489.00,,,$0.00,"$2,511.00",$0.00,$0.00
Peter G. Violette,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zrnznr7nt,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zrnznr7nt/filings/d_01kf4f3w4qe2jtscj5sbkpj6xm,,Campaign Finance,"December 01, 2025 - December 31, 2025","$3,000.00","$3,000.00",$0.00,$489.00,,,$0.00,"$2,511.00",$0.00,$0.00
Michael Sweeny Flanagan,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0ca582k5bm,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0ca582k5bm/filings/d_01kp6ffh8xfw5artr6a2758f1a,,Mcea Seed Money,"January 01, 2026 - April 14, 2026",$0.00,$0.00,$0.00,$999.77,,,"$1,000.00",$0.23,$0.00,$0.00
Michael Sweeny Flanagan,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0ca582k5bm,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0ca582k5bm/filings/d_01kf4f3w4re01aq3f5mqh2akc2,,Campaign Finance,"November 20, 2025 - December 31, 2025","$1,000.00","$1,000.00",$0.00,$0.00,,,$0.00,"$1,000.00",$0.00,$0.00
Irene Gifford,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7mp7mqf88rwddyy03947r8,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7mp7mqf88rwddyy03947r8/filings/d_01ksk4n704f4wa61rbdnx9fwna,,Mcea Campaign Finance,"April 15, 2026 - May 26, 2026",,,,$636.46,$675.00,$0.00,$0.00,$38.54,$0.00,
Irene Gifford,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7mp7mqf88rwddyy03947r8,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7mp7mqf88rwddyy03947r8/filings/d_01kp6js2njfrvrzh71x0nm1emr,,Mcea Seed Money,"Unbounded - April 14, 2026",$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,$0.00
Michele Meyer,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdhzv5nqe1,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdhzv5nqe1/filings/d_01kstenhbjet3sxfqybjbh3xns,,Mcea Campaign Finance,"February 14, 2026 - May 26, 2026",,,,"$12,212.94","$13,245.63",$0.00,$4.37,"$1,037.06",$0.00,
Michele Meyer,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdhzv5nqe1,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdhzv5nqe1/filings/d_01ksp1g3sge2pbjwmdbypjw8pv,,Mcea Seed Money,"Unbounded - June 08, 2026","$3,000.00","$3,000.00",$0.00,"$2,995.63",,,$0.00,$4.37,$0.00,$0.00
Michele Meyer,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdhzv5nqe1,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdhzv5nqe1/filings/d_01kf4f3w4re01aq3f5m0n74cv1,,Campaign Finance,"July 07, 2025 - December 31, 2025","$3,000.00","$3,000.00",$0.00,"$1,675.30",,,$0.00,"$1,324.70",$0.00,$0.00
Rebecca Lynn Flood Andrews,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km30qdyyf4sbpf6bm5qzzrn4,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km30qdyyf4sbpf6bm5qzzrn4/filings/d_01ks42mzcmeq784dhjvq4f83af,,Mcea Campaign Finance,"May 13, 2026 - May 26, 2026",,,,$633.28,$674.14,$0.00,$0.86,$41.72,$0.00,
Rebecca Lynn Flood Andrews,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km30qdyyf4sbpf6bm5qzzrn4,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km30qdyyf4sbpf6bm5qzzrn4/filings/d_01kre9vtyqfka93m4xc1d5kj7f,,Mcea Seed Money,"Unbounded - May 11, 2026","$1,000.00","$1,000.00",$0.00,$999.14,,,$0.00,$0.86,$532.00,$0.00
Todd Michael Davis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8061te5wvw,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8061te5wvw/filings/d_01ksn743pyfe89xsan7xcbmkv5,,Mcea Campaign Finance,"March 18, 2026 - May 26, 2026",,,,$0.00,$669.43,$0.00,$5.57,$675.00,$0.00,
Mark Vigliotta,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7q8034emg9fjvk15q82v6n,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7q8034emg9fjvk15q82v6n/filings/d_01kstym8rcf8k8rwnhyxqy5rpg,,Mcea Campaign Finance,"May 14, 2026 - May 26, 2026",,,,"$1,654.48","$2,649.16",$0.00,$0.84,$995.52,$0.00,
Mark Vigliotta,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7q8034emg9fjvk15q82v6n,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7q8034emg9fjvk15q82v6n/filings/d_01kr3x12raf98t7xq3ahybkx96,,Mcea Seed Money,"Unbounded - May 13, 2026","$2,795.00","$2,795.00",$0.00,"$2,794.16",,,$0.00,$0.84,$554.48,$0.00
Gordon Powell Street,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8095ykjga1,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8095ykjga1/filings/d_01ksttathvee0ajzshef1vch6g,,Mcea Campaign Finance,"March 21, 2026 - May 26, 2026",,,,$284.20,$666.95,$0.00,$8.05,$390.80,$0.00,
Gordon Powell Street,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8095ykjga1,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8095ykjga1/filings/d_01ksp18rsne6b8zn7xygg28cfy,,Mcea Seed Money,"Unbounded - June 08, 2026","$1,000.00","$1,000.00",$0.00,"$1,042.73",,,$0.00,,$0.00,$0.00
Michael Hobart Cunningham II,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kk9gv56zfmtbj2fycfrhe94f,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kk9gv56zfmtbj2fycfrhe94f/filings/d_01ks3tkfzrfs1rgbjb09fbdtnp,,Mcea Campaign Finance,"May 16, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$0.00,
Michael Hobart Cunningham II,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kk9gv56zfmtbj2fycfrhe94f,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kk9gv56zfmtbj2fycfrhe94f/filings/d_01ks0bt0ggfmaajhgrfysfszre,,Mcea Seed Money,"Unbounded - May 15, 2026",$650.00,$650.00,$0.00,$650.00,,,$0.00,$0.00,$0.00,$0.00
Michael Hobart Cunningham II,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kk9gv56zfmtbj2fycfrhe94f,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kk9gv56zfmtbj2fycfrhe94f/filings/d_01krm4skv9ed9ay3vb79j0ebnp,,Mcea Seed Money,"Unbounded - May 15, 2026",$650.00,$650.00,$0.00,$625.00,,,$0.00,$25.00,$0.00,$0.00
John Robert Henkelman III,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7ztqbvn1zh,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7ztqbvn1zh/filings/d_01ksr0andzfzdt31yxccj7hdkw,,Mcea Campaign Finance,"April 16, 2026 - May 26, 2026",,,,$175.91,$674.37,$0.00,$0.63,$499.09,$0.00,
John Robert Henkelman III,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7ztqbvn1zh,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7ztqbvn1zh/filings/d_01kp4h7q17fxrs2wf6tdtm7wrb,,Mcea Seed Money,"January 01, 2026 - April 15, 2026",$300.00,$300.00,$0.00,$999.37,,,$700.00,$0.63,$0.00,$0.00
